ticker,signal_date,entry_date,entry_price,resistance_level,base_low,target_price,stop_price,exit_date,exit_price,exit_reason,days_held,pnl,win,risk_reward,volume_ratio,consolidation_length,base_range_pct,year
CL,2024-01-26,2024-01-26,82.83,81.82,77.98,85.66,77.59,2024-02-01,85.66,Profit Target,4,0.034166,True,0.54,1.834,22,0.049243,2024
CL,2024-04-26,2024-04-26,91.01,89.82,85.68,93.96,85.25,2024-05-07,93.96,Profit Target,7,0.032414,True,0.512,1.821,19,0.048319,2024
CME,2024-02-14,2024-02-14,215.18,210.37,202.4,218.34,201.39,2024-02-23,218.34,Profit Target,6,0.014685,True,0.229,1.897,15,0.039377,2024
CMI,2024-11-05,2024-11-05,354.46,340.82,324.74,356.9,323.12,2024-11-06,356.9,Profit Target,1,0.006884,True,0.078,2.392,19,0.049517,2024
CMS,2024-09-16,2024-09-16,70.48,70.12,66.86,73.38,66.53,2024-10-14,69.87,Time Exit,20,-0.008655,False,0.733,2.222,16,0.048759,2024
COR,2024-07-30,2024-07-30,231.03,230.24,219.54,240.94,218.44,2024-07-31,240.94,Profit Target,1,0.042895,True,0.787,1.633,16,0.048738,2024
COR,2024-10-15,2024-10-15,233.12,227.83,218.65,237.01,217.56,2024-10-18,237.01,Profit Target,3,0.016687,True,0.25,1.769,15,0.041985,2024
COR,2024-11-06,2024-11-06,245.38,239.11,227.95,250.27,226.81,2024-11-07,250.27,Profit Target,1,0.019928,True,0.263,1.71,15,0.048958,2024
COST,2024-07-05,2024-07-05,885.67,873.96,834.32,913.6,830.15,2024-07-18,830.15,Stop Loss,9,-0.062689,False,0.503,1.503,19,0.047512,2024
CSCO,2024-10-16,2024-10-16,56.38,54.61,52.01,57.21,51.75,2024-11-06,57.21,Profit Target,15,0.014722,True,0.179,1.973,16,0.04999,2024
CSX,2024-01-26,2024-01-26,35.39,35.09,33.45,36.73,33.28,2024-02-02,36.73,Profit Target,5,0.037864,True,0.636,2.011,27,0.049028,2024
CTSH,2024-01-12,2024-01-12,77.97,76.1,72.69,79.51,72.33,2024-02-12,76.53,Time Exit,20,-0.018469,False,0.273,1.763,16,0.046911,2024
DD,2024-05-24,2024-05-24,33.94,33.67,32.09,35.24,31.93,2024-06-25,33.67,Time Exit,20,-0.008136,False,0.646,2.454,17,0.049159,2024
DIS,2024-01-16,2024-01-16,93.05,92.24,88.69,95.79,88.25,2024-01-23,95.79,Profit Target,5,0.029446,True,0.57,1.505,15,0.040027,2024
DIS,2024-05-06,2024-05-06,116.47,115.55,110.21,120.89,109.66,2024-05-07,109.66,Stop Loss,1,-0.058479,False,0.649,2.127,15,0.048453,2024
DPZ,2024-06-03,2024-06-03,522.98,522.81,499.5,546.12,497.0,2024-07-02,497.0,Stop Loss,20,-0.049672,False,0.891,1.648,18,0.046667,2024
DRI,2024-11-06,2024-11-06,170.95,165.66,157.89,173.43,157.1,2024-11-25,173.43,Profit Target,13,0.014507,True,0.179,2.074,15,0.049212,2024
EA,2024-10-30,2024-10-30,149.14,147.52,140.55,154.49,139.85,2024-11-05,154.49,Profit Target,4,0.035872,True,0.576,2.41,18,0.049591,2024
ED,2024-04-19,2024-04-19,91.77,91.73,87.4,96.06,86.96,2024-05-03,96.06,Profit Target,10,0.046747,True,0.892,4.139,16,0.049542,2024
EFX,2024-02-08,2024-02-08,252.06,251.04,239.79,262.29,238.59,2024-02-22,262.29,Profit Target,9,0.040586,True,0.76,2.512,22,0.046916,2024
ELV,2024-07-16,2024-07-16,553.14,546.57,522.83,570.31,520.22,2024-07-17,520.22,Stop Loss,1,-0.059522,False,0.522,2.224,20,0.045407,2024
EMR,2024-06-28,2024-06-28,110.16,110.15,105.7,114.6,105.17,2024-07-12,114.6,Profit Target,9,0.040305,True,0.89,1.973,17,0.0421,2024
EMR,2024-11-05,2024-11-05,117.67,112.77,107.45,118.09,106.91,2024-11-06,118.09,Profit Target,1,0.003569,True,0.039,3.337,27,0.049511,2024
EQIX,2024-10-25,2024-10-25,914.33,896.75,859.93,933.57,855.63,2024-11-22,933.57,Profit Target,20,0.021043,True,0.328,2.993,30,0.042817,2024
ETR,2024-09-13,2024-09-13,63.54,61.87,59.05,64.68,58.75,2024-09-17,64.68,Profit Target,2,0.017861,True,0.237,1.825,17,0.047672,2024
EVRG,2024-11-08,2024-11-08,62.51,62.1,59.23,64.97,58.93,2024-11-27,64.97,Profit Target,13,0.039354,True,0.688,1.925,19,0.048455,2024
EXC,2024-09-11,2024-09-11,39.3,39.26,37.4,41.12,37.21,2024-10-02,41.12,Profit Target,15,0.04631,True,0.872,1.996,16,0.049733,2024
EXC,2024-09-12,2024-09-12,39.86,39.38,37.54,41.22,37.35,2024-10-10,39.27,Time Exit,20,-0.014802,False,0.542,3.399,15,0.049014,2024
EXPD,2024-05-31,2024-05-31,120.9,120.86,116.08,125.64,115.5,2024-06-05,125.64,Profit Target,3,0.039206,True,0.878,4.789,15,0.041178,2024
EXR,2024-09-18,2024-09-18,181.65,179.42,171.22,187.62,170.36,2024-10-04,170.36,Stop Loss,12,-0.062131,False,0.529,1.763,18,0.047892,2024
FDX,2024-11-06,2024-11-06,280.06,278.69,265.64,291.74,264.31,2024-11-11,291.74,Profit Target,3,0.041705,True,0.742,2.199,16,0.049127,2024
FER,2024-02-28,2024-02-28,39.53,38.78,37.54,40.02,37.35,2024-03-06,37.35,Stop Loss,5,-0.055087,False,0.225,6.667,30,0.033031,2024
FFIV,2024-09-12,2024-09-12,205.95,203.98,194.45,213.51,193.48,2024-09-16,213.51,Profit Target,2,0.036708,True,0.606,1.508,18,0.04901,2024
FOX,2024-11-04,2024-11-04,39.96,39.32,37.72,40.92,37.53,2024-11-06,40.92,Profit Target,2,0.024024,True,0.395,1.93,29,0.042418,2024
FOXA,2024-11-04,2024-11-04,43.0,42.85,41.06,44.64,40.85,2024-11-06,44.64,Profit Target,2,0.038139,True,0.764,3.01,29,0.043595,2024
FOXA,2024-12-17,2024-12-17,49.07,47.67,45.48,49.87,45.25,2024-12-18,49.87,Profit Target,1,0.016222,True,0.209,1.666,17,0.048219,2024
GD,2024-08-29,2024-08-29,297.83,297.18,285.2,309.16,283.77,2024-09-16,309.16,Profit Target,11,0.038042,True,0.806,1.782,17,0.042006,2024
GD,2024-09-09,2024-09-09,301.56,300.98,287.45,314.51,286.01,2024-10-07,297.29,Time Exit,20,-0.01416,False,0.833,1.909,21,0.047069,2024
GDDY,2024-06-10,2024-06-10,142.04,141.27,134.62,147.92,133.95,2024-07-10,142.46,Time Exit,20,0.002957,True,0.726,1.883,16,0.049359,2024
GDDY,2024-10-31,2024-10-31,166.8,166.17,159.18,173.16,158.38,2024-11-06,173.16,Profit Target,4,0.038129,True,0.756,3.178,16,0.043913,2024
