date,ticker,pnl,equity
2024-07-19,PM,0.048962,4.412041302213112
2024-07-24,MELI,-0.02,4.3238004761688495
2024-07-24,ORCL,-0.02,4.237324466645473
2024-07-25,IP,-0.02,4.152577977312563
2024-07-30,BSX,-0.051735,3.937744355656298
2024-07-30,ISRG,-0.02,3.858989468543172
2024-07-31,COR,0.042895,4.024520821796331
2024-08-01,BA,-0.02,3.9440304053604045
2024-08-01,LII,-0.02,3.8651497972531965
2024-08-01,ADSK,-0.02,3.7878468013081323
2024-08-02,INSM,-0.02,3.71208986528197
2024-08-05,WMB,-0.053167,3.5147291834145236
2024-08-05,CPB,0.07,3.7607602262535402
2024-08-20,SWKS,-0.02,3.6855450217284695
2024-08-22,DHI,0.07,3.9435331732494627
2024-08-22,TSLA,-0.02,3.8646625097844733
2024-08-22,INCY,-0.02,3.787369259588784
2024-08-27,AAPL,0.030551,3.9030771778384805
2024-08-27,AMT,-0.02,3.8250156342817108
2024-08-28,IP,0.051388,4.0215755376961795
2024-08-29,CHTR,-0.02,3.941144026942256
2024-09-05,FDX,-0.02,3.862321146403411
2024-09-05,VTRS,-0.02,3.7850747234753426
2024-09-06,GILD,0.037154,3.925705389751345
2024-09-06,COHR,-0.02,3.8471912819563183
2024-09-09,HSIC,-0.02,3.770247456317192
2024-09-10,BMY,0.021559,3.8515302212279345
2024-09-10,REG,0.029853,3.9665099529222516
2024-09-16,GD,0.038042,4.117403924551319
2024-09-17,EFX,-0.02,4.035055846060293
2024-09-18,ZTS,0.045817,4.219929999759237
2024-09-20,ORLY,-0.02,4.135531399764052
2024-09-23,AEE,0.033982,4.2760650277908345
2024-09-30,ALNY,0.017236,4.349767284609838
2024-10-01,ATO,0.042526,4.534745488155156
2024-10-01,KEY,-0.02,4.444050578392053
2024-10-02,EXC,0.04631,4.649854560677389
2024-10-03,NEE,0.043135,4.850426037152208
2024-10-03,HWM,0.034076,5.015709154794207
2024-10-03,CLX,-0.02,4.915394971698323
2024-10-04,FTNT,0.01602,4.99413959914493
2024-10-07,LEN,-0.02,4.894256807162031
2024-10-07,ED,-0.02,4.7963716710187905
2024-10-08,CME,0.016135,4.8737611279306785
2024-10-08,UNH,-0.02,4.776285905372065
2024-10-08,APD,-0.02,4.680760187264624
2024-10-09,SBUX,0.002719,4.693487174213796
2024-10-10,SBUX,-0.02,4.59961743072952
2024-10-16,ERIE,-0.02,4.507625082114929
2024-10-16,ALNY,0.07,4.823158837862974
2024-10-16,ERIE,-0.02,4.7266956611057145
2024-10-17,NOW,0.029731,4.8672250498060485
2024-10-17,NRG,-0.02,4.769880548809928
2024-10-18,KIM,0.041438,4.967534858991514
2024-10-21,SATS,-0.02,4.8681841618116835
2024-10-22,MMM,-0.02,4.77082047857545
2024-10-23,SBUX,-0.02,4.675404069003941
2024-10-23,META,-0.02,4.581895987623862
2024-10-25,AON,0.044976,4.787971341563233
2024-10-29,MELI,-0.02,4.692211914731968
